%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82977.243,299.363,0.966,15.034,109.125,0.018,109.020,111.105,113.153,113.438,114.740,110.639,110.178,111.005,112.629,113.179,115.484,109.706,115.915,114.082,112.982,111.575,-11.000,-0.802,-0.437,-0.052,-90.212,215.560
82973.211,299.367,0.966,15.040,109.204,0.178,108.696,110.770,113.795,113.438,113.983,110.847,109.857,111.005,112.405,113.492,115.695,110.238,116.543,113.559,113.085,111.575,-11.000,-0.783,-0.427,-0.053,-90.196,215.549
82973.211,299.367,0.966,15.035,109.125,0.018,108.479,110.547,112.939,113.647,113.875,110.847,110.285,109.933,112.293,113.492,115.695,109.387,115.601,113.768,112.462,111.349,-11.000,-0.783,-0.457,-0.053,-90.196,215.539
82973.211,299.367,0.966,15.045,109.283,0.178,108.587,109.653,112.404,113.752,113.443,109.807,110.178,111.220,111.063,113.075,115.167,108.642,116.020,113.559,112.774,110.898,-11.000,-0.783,-0.437,-0.052,-90.212,215.560
82973.211,299.366,0.966,15.029,109.046,0.178,107.938,110.658,111.869,113.334,113.335,110.223,109.750,110.362,111.958,112.657,115.273,109.174,115.496,113.454,111.943,111.123,-11.000,-0.763,-0.437,-0.053,-90.212,215.549
82973.211,299.367,0.966,15.040,109.204,-0.302,108.046,110.547,112.939,112.706,113.335,110.951,109.643,110.254,112.070,112.657,115.378,108.855,115.706,112.618,112.566,110.898,-11.000,-0.763,-0.447,-0.052,-90.196,215.529
82977.243,299.364,0.966,15.040,109.204,0.018,108.371,110.100,113.260,113.961,113.551,110.327,110.285,110.362,111.958,112.866,115.589,109.706,116.020,113.559,112.151,111.123,-11.000,-0.763,-0.437,-0.052,-90.212,215.549
82977.243,299.363,0.966,15.045,109.283,0.338,108.912,109.877,112.832,113.334,113.551,110.431,109.964,110.898,111.399,112.970,115.695,108.962,116.020,114.083,113.085,111.349,-11.000,-0.783,-0.437,-0.052,-90.212,215.560
82961.117,299.366,0.965,15.036,109.125,-0.142,108.696,111.105,112.297,113.334,113.443,110.119,110.178,110.898,111.958,112.762,115.167,109.600,115.706,114.083,112.878,111.236,-11.000,-0.783,-0.437,-0.052,-90.196,215.560
82977.243,299.366,0.966,15.045,109.283,0.178,108.371,111.105,113.153,113.438,114.092,110.431,109.536,111.005,111.734,113.075,115.801,109.387,116.439,112.618,112.982,111.800,-11.000,-0.783,-0.437,-0.052,-90.228,215.560
82969.180,299.366,0.966,15.035,109.125,0.018,108.696,110.100,112.939,113.438,113.551,110.431,109.964,110.576,111.958,113.284,115.273,109.387,116.020,113.559,112.359,111.349,-11.000,-0.783,-0.447,-0.052,-90.196,215.539
82969.180,299.364,0.966,15.035,109.125,0.018,109.020,110.435,112.618,113.543,113.983,110.535,110.498,110.791,111.622,112.866,115.167,108.855,116.334,114.397,113.501,111.575,-11.000,-0.783,-0.427,-0.052,-90.228,215.539
82969.180,299.364,0.966,15.046,109.283,0.018,109.020,111.775,113.046,113.961,114.200,110.847,110.605,111.327,113.076,113.284,115.906,109.494,116.020,113.978,113.085,111.800,-11.000,-0.763,-0.437,-0.052,-90.212,215.560
82965.148,299.366,0.965,15.035,109.125,0.178,108.587,111.217,113.688,114.066,114.740,110.951,109.536,111.112,112.405,113.701,115.801,109.600,116.753,113.664,112.982,111.913,-11.000,-0.802,-0.457,-0.052,-90.212,215.560
82973.211,299.364,0.966,15.040,109.204,0.178,108.587,111.217,113.474,114.275,114.416,110.951,110.712,110.683,112.517,113.806,115.484,109.919,116.753,114.606,112.462,111.575,-11.000,-0.744,-0.437,-0.052,-90.212,215.539
