%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
102436.936,301.497,1.184,0.000,-0.119,0.064,-1.729,-1.672,0.963,1.673,-0.108,-2.075,-0.961,-1.819,0.112,0.209,2.324,-2.443,2.408,0.942,0.415,0.113,-2.045,0.009,-0.059,-0.000,535.448,336.520
102440.968,301.501,1.184,0.448,0.119,-0.096,-2.270,-0.780,1.177,1.882,0.649,-2.387,-1.388,-1.070,0.112,0.418,1.902,-0.743,1.885,0.837,0.519,-0.113,-2.034,-0.010,-0.069,0.001,535.448,336.520
102449.030,301.502,1.184,0.000,-0.119,-0.096,-2.486,-0.669,1.177,1.987,0.865,-0.934,-1.708,-1.177,0.224,-0.208,2.747,-1.168,2.932,1.047,0.727,0.000,-2.024,0.009,-0.079,0.001,535.448,336.520
102449.030,301.499,1.184,0.258,0.040,0.224,-2.378,-0.892,1.499,1.882,0.433,-1.764,-0.961,-2.248,-0.335,0.313,2.219,-1.805,2.303,0.628,0.311,-0.338,-2.024,-0.010,-0.059,0.000,535.448,336.520
102444.999,301.507,1.184,0.258,0.040,0.064,-2.054,-1.895,1.177,1.882,0.865,-1.868,-1.175,-1.177,-0.446,-0.000,2.219,-1.912,2.617,1.151,0.727,-0.113,-2.024,0.028,-0.069,0.000,535.448,336.520
102449.030,301.501,1.184,0.258,0.040,0.224,-2.378,-0.669,0.749,1.987,0.324,-1.557,-1.281,-1.498,0.336,-0.208,2.324,-1.912,2.199,0.628,0.208,-0.113,-2.024,-0.010,-0.059,0.001,535.448,336.520
102449.030,301.499,1.184,0.000,-0.040,-0.096,-2.162,-1.337,1.177,1.673,0.216,-1.557,-1.602,-1.391,0.224,0.626,1.902,-2.230,2.408,0.105,0.415,-0.113,-1.993,-0.029,-0.069,-0.000,535.448,336.520
102461.125,301.502,1.184,0.578,0.198,0.064,-2.486,-1.449,0.856,1.568,-0.324,-2.075,-1.281,-2.248,0.447,0.104,2.536,-2.124,2.513,1.047,-0.000,0.564,-2.045,-0.029,-0.059,0.001,535.448,336.520
102440.968,301.507,1.184,0.000,-0.040,0.224,-2.270,-1.003,0.642,2.091,0.216,-1.245,-1.175,-1.391,0.671,0.313,2.641,-2.018,2.304,1.256,0.311,-0.225,0.006,0.009,-0.018,0.001,535.448,336.520
102461.125,301.507,1.184,0.000,-0.040,0.064,-1.729,-0.892,1.070,1.673,0.973,-1.764,-0.641,-1.819,-0.335,0.104,2.535,-1.487,2.408,0.523,1.246,-0.450,0.006,-0.010,-0.028,0.000,535.448,336.520
